date,holiday
02/01/2012,New Year's Day
20/02/2012,Family Day
06/04/2012,Good Friday
21/05/2012,Victoria Day
02/07/2012,Canada Day
06/08/2012,Civic Holiday
03/09/2012,Labour Day
08/10/2012,Thanksgiving
24/12/2012,Additional Day
25/12/2012,Christmas
26/12/2012,Boxing Day
27/12/2012,Additional Day
28/12/2012,Additional Day
31/12/2012,Additional Day
01/01/2013,New Year's Day
18/02/2013,Family Day
29/03/2013,Good Friday
20/05/2013,Victoria Day
01/07/2013,Canada Day
05/08/2013,Civic Holiday
02/09/2013,Labour Day
14/10/2013,Thanksgiving
24/12/2013,Additional Day
25/12/2013,Christmas
26/12/2013,Boxing Day
27/12/2013,Additional Day
30/12/2013,Additional Day
31/12/2013,Additional Day
01/01/2014,New Year's Day
17/02/2014,Family Day
18/04/2014,Good Friday
19/05/2014,Victoria Day
30/06/2014,Additional Day
01/07/2014,Canada Day
04/08/2014,Civic Holiday
01/09/2014,Labour Day
13/10/2014,Thanksgiving
24/12/2014,Additional Day
25/12/2014,Christmas
26/12/2014,Boxing Day
29/12/2014,Additional Day
30/12/2014,Additional Day
31/12/2014,Additional Day
01/01/2015,New Year's Day
02/01/2015,Additional Day
16/02/2015,Family Day
03/04/2015,Good Friday
18/05/2015,Victoria Day
01/07/2015,Canada Day
03/08/2015,Civic Holiday
07/09/2015,Labour Day
12/10/2015,Thanksgiving
24/12/2015,Additional Day
25/12/2015,Christmas
28/12/2015,Boxing Day
29/12/2015,Additional Day
30/12/2015,Additional Day
31/12/2015,Additional Day
01/01/2016,New Year's Day
15/02/2016,Family Day
25/03/2016,Good Friday
23/05/2016,Victoria Day
01/07/2016,Canada Day
01/08/2016,Civic Holiday
05/09/2016,Labour Day
10/10/2016,Thanksgiving
26/12/2016,Christmas Day
27/12/2016,Boxing Day
28/12/2016,Additional Day
29/12/2016,Additional Day
30/12/2016,Additional Day
02/01/2017,New Year's Day
20/02/2017,Family Day
14/04/2017,Good Friday
22/05/2017,Victoria Day
03/07/2017,Canada Day
07/08/2017,Civic Holiday
04/09/2017,Labour Day
09/10/2017,Thanksgiving
25/12/2017,Christmas Day
26/12/2017,Boxing Day
27/12/2017,Additional Day
28/12/2017,Additional Day
29/12/2017,Additional Day
01/01/2018,New Year's Day
19/02/2018,Family Day
30/03/2018,Good Friday
21/05/2018,Victoria Day
02/07/2018,Canada Day
06/08/2018,Civic Holiday
03/09/2018,Labour Day
08/10/2018,Thanksgiving
24/12/2018,Additional Day
25/12/2018,Christmas Day
26/12/2018,Boxing Day
27/12/2018,Additional Day
28/12/2018,Additional Day
31/12/2018,Additional Day
01/01/2019,New Year's Day
18/02/2019,Family Day
19/04/2019,Good Friday
20/05/2019,Victoria Day
01/07/2019,Canada Day
05/08/2019,Civic Holiday
02/09/2019,Labour Day
14/10/2019,Thanksgiving
24/12/2019,Additional Day
25/12/2019,Christmas Day
26/12/2019,Boxing Day
27/12/2019,Additional Day
30/12/2019,Additional Day
31/12/2019,Additional Day
01/01/2020,New Year's Day
17/02/2020,Family Day
10/04/2020,Good Friday
18/05/2020,Victoria Day
01/07/2020,Canada Day
03/08/2020,Civic Holiday
07/09/2020,Labour Day
12/10/2020,Thanksgiving
24/12/2020,Additional Day
25/12/2020,Christmas Day
28/12/2020,Boxing Day
29/12/2020,Additional Day
30/12/2020,Additional Day
31/12/2020,Additional Day
01/01/2021,New Year's Day
15/02/2021,Family Day
02/04/2021,Good Friday
24/05/2021,Victoria Day
01/07/2021,Canada Day
02/07/2021,Additional Day
02/08/2021,Civic Holiday
06/09/2021,Labour Day
11/10/2021,Thanksgiving
24/12/2021,Additional Day
27/12/2021,Christmas Day
28/12/2021,Boxing Day
29/12/2021,Additional Day
30/12/2021,Additional Day
31/12/2021,Additional Day
03/01/2022,New Year's Day
21/02/2022,Family Day
22/02/2022,Additional Day
15/04/2022,Good Friday
23/05/2022,Victoria Day
01/07/2022,Canada Day
01/08/2022,Civic Holiday
05/09/2022,Labour Day
10/10/2022,Thanksgiving
11/10/2022,Additional Day
26/12/2022,Christmas Day
27/12/2022,Boxing Day
28/12/2022,Additional Day
29/12/2022,Additional Day
30/12/2022,Additional Day
02/01/2023,New Year's Day
20/02/2023,Family Day
07/04/2023,Good Friday
22/05/2023,Victoria Day
03/07/2023,Canada Day
07/08/2023,Civic Holiday
04/09/2023,Labour Day
09/10/2023,Thanksgiving
25/12/2023,Christmas Day
26/12/2023,Boxing Day
27/12/2023,Additional Day
28/12/2023,Additional Day
29/12/2023,Additional Day
01/01/2024,New Year's Day
19/02/2024,Family Day
29/03/2024,Good Friday
20/05/2024,Victoria Day
01/07/2024,Canada Day
05/08/2024,Civic Holiday
02/09/2024,Labour Day
14/10/2024,Thanksgiving
24/12/2024,Additional Day
25/12/2024,Christmas Day
26/12/2024,Boxing Day
27/12/2024,Additional Day
30/12/2024,Additional Day
31/12/2024,Additional Day
01/01/2025,New Year's Day
17/02/2025,Family Day
18/04/2025,Good Friday
19/05/2025,Victoria Day
30/06/2025,Additional Day
01/07/2025,Canada Day
04/08/2025,Civic Holiday
01/09/2025,Labour Day
13/10/2025,Thanksgiving
24/12/2025,Additional Day
25/12/2025,Christmas Day
26/12/2025,Boxing Day
29/12/2025,Additional Day
30/12/2025,Additional Day
31/12/2025,Additional Day
